contestant_id,season_number,age,age_n,hometown_city,hometown_state,Lat,Lng,Wins,Wins_n,High,High_n,Safe,Safe_n,Low,Low_n,Bottom,Bottom_n,Number_of_Episodes,season_outcome,Label
36,4,21,-1.0,Fort Lauderdale,Florida,26.1412,-80.1464,0,-1.0,1,0.5,0,-1.0,0,-1.0,0,-1.0,2,12,4
37,4,30,-0.4193548387096774,Queens,New York,40.7498,-73.7976,0,-1.0,1,-0.5714285714285714,3,0.1428571428571428,0,-1.0,2,-0.1428571428571429,7,8,3
38,4,25,-0.7419354838709677,Chicago,Illinois,41.8373,-87.6862,2,-0.23076923076923073,3,-0.3076923076923076,4,-0.1794871794871794,2,-0.3846153846153846,1,-0.7692307692307692,13,2,1
39,4,29,-0.4838709677419355,Carolina,Puerto Rico,18.4054,-65.9792,1,0.25,0,-1.0,1,-0.33333333333333337,1,0.0,0,-1.0,4,10,4
40,4,36,-0.032258064516129004,New York,New York,40.6943,-73.9249,0,-1.0,1,-0.5,2,-0.11111111111111116,0,-1.0,2,0.0,6,9,3
41,4,23,-0.8709677419354839,Tampa,Florida,27.9942,-82.4451,0,-1.0,0,-1.0,0,-1.0,0,-1.0,0,-1.0,1,13,4
42,4,25,-0.7419354838709677,Chicago,Illinois,41.8373,-87.6862,0,-1.0,0,-1.0,5,0.4814814814814816,2,-0.11111111111111116,1,-0.6666666666666667,9,6,2
43,4,31,-0.3548387096774194,Chicago,Illinois,41.8373,-87.6862,0,-1.0,1,0.0,0,-1.0,0,-1.0,1,0.0,3,11,4
44,4,21,-1.0,Dorado,Puerto Rico,18.4657,-66.2724,0,-1.0,1,-0.5,1,-0.5555555555555556,2,0.33333333333333326,0,-1.0,6,5,2
45,4,40,0.22580645161290325,San Diego,California,32.8312,-117.1225,2,-0.23076923076923073,4,-0.07692307692307687,4,-0.1794871794871794,1,-0.6923076923076923,1,-0.7692307692307692,13,2,1
46,4,29,-0.4838709677419355,Pittsburgh,Pennsylvania,40.4396,-79.9762,4,0.5384615384615385,3,-0.3076923076923076,3,-0.3846153846153846,1,-0.6923076923076923,1,-0.7692307692307692,13,1,1
47,4,39,0.16129032258064524,South Beach,Florida,27.5883,-80.3435,2,-0.16666666666666674,1,-0.75,4,-0.11111111111111116,1,-0.6666666666666667,2,-0.5,12,4,2
48,5,27,-0.6129032258064516,Los Angeles,California,34.1139,-118.4068,1,-0.5454545454545454,1,-0.7272727272727273,5,0.21212121212121215,1,-0.6363636363636364,2,-0.4545454545454545,11,4,2
49,5,28,-0.5483870967741935,Orlando,Florida,28.4772,-81.3369,2,-0.23076923076923073,5,0.15384615384615397,2,-0.5897435897435896,2,-0.3846153846153846,1,-0.7692307692307692,13,2,1
50,5,25,-0.7419354838709677,Gainesville,Florida,29.6804,-82.3458,0,-1.0,0,-1.0,4,0.7777777777777777,1,-0.33333333333333337,0,-1.0,6,8,3
51,5,21,-1.0,Tallahassee,Florida,30.4551,-84.2526,0,-1.0,0,-1.0,0,-1.0,0,-1.0,1,0.5,2,13,4
52,5,32,-0.29032258064516125,Mesquite,Texas,32.7623,-96.5889,1,-0.44444444444444453,0,-1.0,4,0.18518518518518512,1,-0.5555555555555556,2,-0.33333333333333337,9,6,2
53,5,24,-0.8064516129032258,Seattle,Washington,47.6211,-122.3244,2,-0.23076923076923073,6,0.3846153846153848,3,-0.3846153846153846,0,-1.0,1,-0.7692307692307692,13,1,1
54,5,39,0.16129032258064524,Cincinnati,Ohio,39.1413,-84.5061,0,-1.0,0,-1.0,0,-1.0,0,-1.0,0,-1.0,1,14,4
55,5,26,-0.6774193548387097,New York,New York,40.6943,-73.9249,0,-1.0,1,-0.25,1,-0.33333333333333337,1,0.0,0,-1.0,4,10,3
56,5,27,-0.6129032258064516,Pittsburgh,Pennsylvania,40.4396,-79.9762,2,-0.23076923076923073,4,-0.07692307692307687,4,-0.1794871794871794,2,-0.3846153846153846,0,-1.0,13,2,1
57,5,29,-0.4838709677419355,San Francisco,California,37.7562,-122.443,0,-1.0,1,-0.25,2,0.33333333333333326,0,-1.0,0,-1.0,4,10,3
58,5,22,-0.935483870967742,Greenville,Michigan,43.1797,-85.2533,1,-0.44444444444444453,3,0.0,1,-0.7037037037037037,2,-0.11111111111111116,0,-1.0,9,7,2
59,5,27,-0.6129032258064516,Owensboro,Kentucky,37.7574,-87.1173,0,-1.0,0,-1.0,1,-0.11111111111111116,0,-1.0,1,0.0,3,12,4
60,5,24,-0.8064516129032258,San Juan,Puerto Rico,18.4037,-66.0636,1,0.0,1,-0.3999999999999999,2,0.06666666666666665,0,-1.0,0,-1.0,5,9,3
61,5,37,0.032258064516129004,Las Vegas,Nevada,36.2333,-115.2654,1,-0.5,0,-1.0,5,0.33333333333333326,0,-1.0,3,-0.09999999999999998,10,5,2
62,6,23,-0.8709677419354839,Azusa,California,34.1386,-117.9124,3,0.25,2,-0.5,2,-0.5555555555555556,2,-0.33333333333333337,2,-0.5,12,2,1
